Mašinos Id; Vardas; Komentaras; Komentaras parašytas: šiandien +- x day; +- x seconds;
0;Rokas;Puiki mašina, komfortiška - super!;-5 day;-300 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
1;Tomas;10/10, likau labai patenkintas!;-12 day;-5100 seconds;
1;Lukas;Tomai, tu teisus!;-12 day;-51 seconds;
